Date,Year,Month,MonthName,Account,Category,Note,Type,Amount,SignedAmount
,,,,CUB - online payment,Other,Siva + 100 cash,Income,70.0,70.0
,,,,CUB - online payment,Other,Gundan + prasanna,Income,340.0,340.0
,,,,CUB - online payment,Other,Dinesh and maddy + 100 cash,Income,240.0,240.0
,,,,CUB - online payment,Other,From gowdham,Income,340.0,340.0
,,,,CUB - online payment,Food,Lunch pongal,Expense,1530.0,-1530.0
,,,,CUB - online payment,Food,Dinner,Expense,66.0,-66.0
,,,,CUB - online payment,Other,From dad,Income,1000.0,1000.0
,,,,CUB - online payment,Transportation,Rapido to pg,Expense,43.0,-43.0
2022-12-01 22:44:00,2022.0,12.0,2022-12,CUB - online payment,Other,Recharge by gowdham,Expense,479.0,-479.0
2022-12-01 13:25:00,2022.0,12.0,2022-12,CUB - online payment,Food,Pizza,Expense,301.75,-301.75
2022-12-01 13:25:00,2022.0,12.0,2022-12,CUB - online payment,Other,From kumara,Income,200.0,200.0
2022-11-01 14:07:00,2022.0,11.0,2022-11,CUB - online payment,Food,Lunch with not preethi,Expense,135.5,-135.5
2022-10-01 14:04:00,2022.0,10.0,2022-10,CUB - online payment,Food,Friday snacks with preethi gang,Expense,106.0,-106.0
2022-08-01 13:46:00,2022.0,8.0,2022-08,CUB - online payment,Other,From gowdham,Income,260.0,260.0
2022-08-01 13:45:00,2022.0,8.0,2022-08,CUB - online payment,Food,Lunch with gowdham,Expense,535.3,-535.3
2022-08-01 13:38:00,2022.0,8.0,2022-08,CUB - online payment,Household,Rent,Expense,4580.0,-4580.0
2022-07-01 13:51:00,2022.0,7.0,2022-07,CUB - online payment,Food,Coffee + biscuit,Expense,15.0,-15.0
2022-06-01 21:30:00,2022.0,6.0,2022-06,CUB - online payment,Other,From barath and shakur,Income,440.0,440.0
2022-06-01 20:58:00,2022.0,6.0,2022-06,CUB - online payment,Food,Ketch up,Expense,20.0,-20.0
